Title,Sender,Sender Email,Date
"Notification: Praneeth's Birthday @ Thu Apr 20, 2023 10:30am -
 11:30am (IST) (vyas.mudit14@gmail.com)",Google Calendar <calendar-notification@google.com>,calendar-notification@google.com,"Thu, 20 Apr 2023 04:29:47 +0000"
Complete your profile,=?UTF-8?B?TGlua2VkSW4=?= <linkedin@e.linkedin.com>,linkedin@e.linkedin.com,"Wed, 19 Apr 2023 08:01:34 -0700"
=?UTF-8?Q?=F0=9F=8F=A9Treat_Yourself_to_a_Luxurious_Stay!=F0=9F=A4=A9?=,EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Wed, 19 Apr 2023 18:02:11 +0530"
"Mudit Vyas, Grab benefits worth Rs. 60,000*
 =?UTF-8?Q?=F0=9F=A4=91=F0=9F=92=B0?=",HDFC Bank <Information@hdfcbank.net>,Information@hdfcbank.net,"Wed, 19 Apr 2023 12:05:19 +0000"
Celebrate this Eid with Uber Gift Card,Uber <uber.india@uber.com>,uber.india@uber.com,"Wed, 19 Apr 2023 08:45:11 +0000 (UTC)"
NPTEL Newsletter: NPTEL+: Upcoming Workshops - Hurry up and Register today!,NPTEL <onlinecourses@nptel.iitm.ac.in>,onlinecourses@nptel.iitm.ac.in,"Wed, 19 Apr 2023 11:19:19 +0530"
Review your recent purchase,Myprotein <info@n.myprotein.com>,info@n.myprotein.com,"Wed, 19 Apr 2023 05:20:22 +0000 (UTC)"
"=?utf-8?Q?Your_curated_list_of_fresher_jobs_&_internships!?=
 =?utf-8?Q?_=F0=9F=9A=80?=","""Varsha from Prosple"" <varsha@prosple.com>",varsha@prosple.com,"Tue, 18 Apr 2023 18:07:08 -0500"
Save $25 on a year of Coursera Plus,"""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Tue, 18 Apr 2023 14:22:44 -0600"
"Mudit, looking for a new job?",LinkedIn <jobs-noreply@linkedin.com>,jobs-noreply@linkedin.com,"Tue, 18 Apr 2023 18:30:20 +0000 (UTC)"
Master Data Science and Statistics with the University of Leeds,"""Coursera"" <no-reply@m.mail.coursera.org>",no-reply@m.mail.coursera.org,"Tue, 18 Apr 2023 17:57:49 +0000"
"Learn job-ready skills in months, not years","""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Tue, 18 Apr 2023 11:52:11 -0600"
Unlock Your Legal Success: Join Our Premier Law Program Today!,upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Tue, 18 Apr 2023 15:15:58 +0000 (UTC)"
=?UTF-8?Q?=E2=A4=B5=EF=B8=8FCheck-in_for_a_Sweet_Deal?=,EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Tue, 18 Apr 2023 20:38:14 +0530"
New bill from Jodhpur Vidyut (JDVVNL). Pay now on Google Pay,Google Pay <google-pay-noreply@google.com>,google-pay-noreply@google.com,"Tue, 18 Apr 2023 07:36:00 -0700"
"Mudit Vyas, Grab benefits worth Rs. 60,000*
 =?UTF-8?Q?=F0=9F=A4=91=F0=9F=92=B0?=",HDFC Bank <Information@hdfcbank.net>,Information@hdfcbank.net,"Tue, 18 Apr 2023 14:11:42 +0000"
"Recruitment of Executive Trainees 2023 through GATE 2021 / 2022 /
 2023 in NPCIL",noreply.npcilcareers@nic.in,noreply.npcilcareers@nic.in,18 Apr 2023 15:43:38 +0530
Up to 28% off with GST Invoice with Your FREE Amazon Business Account,Amazon Business <no-reply@business.amazon.in>,no-reply@business.amazon.in,"Tue, 18 Apr 2023 08:23:59 +0000"
=?UTF-8?Q?0_Bargaining_Skills_Required_in_This_Bazaar_=F0=9F=98=89?=,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Tue, 18 Apr 2023 13:51:03 +0530"
Email Address Validation as per SEBI guidelines,CAMSKRA <CAMSKRAvalidateemail@camskra.com>,CAMSKRAvalidateemail@camskra.com,"Tue, 18 Apr 2023 13:21:33 +0530"
Your next trip: Europe in spring,"""Tripadvisor"" <inspiration@mp1.tripadvisor.com>",inspiration@mp1.tripadvisor.com,"Tue, 18 Apr 2023 01:39:30 +0000"
Recommended: Google IT Support,"""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Mon, 17 Apr 2023 12:01:05 -0600"
LinkedIn is better on the app,LinkedIn <messages-noreply@linkedin.com>,messages-noreply@linkedin.com,"Mon, 17 Apr 2023 13:49:15 +0000 (UTC)"
"Mudit, follow these creators based on your recent activity",LinkedIn <messages-noreply@linkedin.com>,messages-noreply@linkedin.com,"Mon, 17 Apr 2023 13:01:31 +0000 (UTC)"
=?UTF-8?Q?=F0=9F=93=A2_Alert:_Forex_Now_Available_@_ZERO_Mark-up!?=,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Mon, 17 Apr 2023 18:28:34 +0530"
Get ready for Week 3,"""Introduction to Data Analytics"" <no-reply@t.mail.coursera.org>",no-reply@t.mail.coursera.org,"Mon, 17 Apr 2023 12:53:12 +0000"
"=?UTF-8?Q?Tap_to_know_tips_for_Sehri,_Roza_&_Iftar!=F0=9F=91=87?=
 =?UTF-8?Q?=F0=9F=A4=A9?=",EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Mon, 17 Apr 2023 18:12:58 +0530"
NPTEL Newsletter: April 2023: Vol 3: Week 3,NPTEL <onlinecourses@nptel.iitm.ac.in>,onlinecourses@nptel.iitm.ac.in,"Mon, 17 Apr 2023 17:34:43 +0530"
"Mudit, join India's fastest growing community of musicians","""BAJAAO Connect"" <helpdesk@email.bajaao.com>",helpdesk@email.bajaao.com,"Mon, 17 Apr 2023 08:06:49 +0000"
"Mudit, start a conversation with your new connection, Rakshith",Rakshith M Kotian via LinkedIn <invitations@linkedin.com>,invitations@linkedin.com,"Mon, 17 Apr 2023 07:38:35 +0000 (UTC)"
MADE EASY =?UTF-8?B?4KS44KS54KSv4KWL4KSX?= Initiative 2023,MADE EASY <info@madeeasyprime.com>,info@madeeasyprime.com,"Mon, 17 Apr 2023 07:29:36 +0000 (UTC)"
"=?UTF-8?B?VGhlc2UgYXJlIEFwcmls4oCZcyBtb3N0IHBvcHVsYXIgZGVzdGlu?=
 =?UTF-8?B?YXRpb25z?=","""trivago"" <newsletter@email.trivago.com>",newsletter@email.trivago.com,"Sun, 16 Apr 2023 18:41:55 -0600"
"=?utf-8?Q?Your_curated_list_of_fresher_jobs_&_internships!?=
 =?utf-8?Q?_=F0=9F=9A=80?=","""Varsha from Prosple"" <varsha@prosple.com>",varsha@prosple.com,"Sun, 16 Apr 2023 18:36:28 -0500"
What did you think of Data Manipulation with pandas?,DataCamp <team@datacamp.com>,team@datacamp.com,"Sun, 16 Apr 2023 19:33:58 +0000 (UTC)"
"Mudit, please add me to your LinkedIn network","""Dr. Abha Vyas"" <invitations@linkedin.com>",invitations@linkedin.com,"Sun, 16 Apr 2023 18:08:40 +0000 (UTC)"
"Unlock the Power of an Online MBA: Discover the Benefits in Our
 =?UTF-8?Q?Upcoming=C2=A0Webinar?=",upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Sun, 16 Apr 2023 14:09:30 +0000 (UTC)"
"Last chance for 35% OFF Flying =?UTF-8?B?QmVhc3TigJlz?= Ltd. Edition
 Pre Workout",Myprotein <info@n.myprotein.com>,info@n.myprotein.com,"Sun, 16 Apr 2023 12:00:14 +0000 (UTC)"
=?UTF-8?Q?Wheely_Crazy_Travel_Deals_in_this_Bazaar_=F0=9F=98=84?=,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Sun, 16 Apr 2023 14:38:30 +0530"
Upgrade to FREE Amazon Business Account ,Amazon Business <no-reply@business.amazon.in>,no-reply@business.amazon.in,"Sun, 16 Apr 2023 07:59:32 +0000"
Re: Web3 Crash Courses & Career Guide,"""Web3 Jobs from t.me/web3hiring via Nas.io""
	<hashtagweb3-community@nas.io>",hashtagweb3-community@nas.io,"Sun, 16 Apr 2023 00:03:53 +0000 (UTC)"
"Notification: Pratyush Birthday @ Sun Apr 16, 2023 12:30am - 1:30am
 (IST) (vyas.mudit14@gmail.com)",Google Calendar <calendar-notification@google.com>,calendar-notification@google.com,"Sat, 15 Apr 2023 18:30:04 +0000"
Mastering Data Science: Join Our Webinar =?UTF-8?B?VG9kYXkh8J+Rhw==?=,upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Sat, 15 Apr 2023 13:41:01 +0000 (UTC)"
Give your Financial journey head start .Start Investing Now !,YONO SBI <yonosbi@alerts.sbi.co.in>,yonosbi@alerts.sbi.co.in,"Sat, 15 Apr 2023 18:32:25 +0530"
Are Tech Giants Using Your Data Unethically?,Team Scaler <hello@scaler.com>,hello@scaler.com,"Sat, 15 Apr 2023 12:42:27 +0000 (UTC)"
"=?UTF-8?Q?=E2=9C=88=EF=B8=8FWe_found_a_hack_to_ease_up_your_travel!?=
 =?UTF-8?Q?=F0=9F=91=87?=",EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Sat, 15 Apr 2023 14:17:57 +0530"
=?UTF-8?Q?Travel_Bazaar_Mein_Free!_Free!_Free!_=F0=9F=98=AE?=,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Sat, 15 Apr 2023 12:01:24 +0530"
35% OFF Flying =?UTF-8?B?QmVhc3TigJlz?= Ltd. Edition Pre Workout,Myprotein <info@n.myprotein.com>,info@n.myprotein.com,"Sat, 15 Apr 2023 04:01:09 +0000 (UTC)"
Gain job-relevant career credentials,"""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Fri, 14 Apr 2023 11:45:43 -0600"
"Mudit, please add me to your LinkedIn network",Mutturaj Kadapatti <invitations@linkedin.com>,invitations@linkedin.com,"Fri, 14 Apr 2023 16:08:40 +0000 (UTC)"
Drive 2023 learning with these high-ROI skill picks,"""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Fri, 14 Apr 2023 08:16:57 -0600"
"Live Masterclass: Cracking data science
 =?UTF-8?B?aW50ZXJ2aWV3c/CfkYc=?=",upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Fri, 14 Apr 2023 13:45:07 +0000 (UTC)"
"Unleash Your Global Legal Potential - Master of Law in International
 Business and Financial Law",upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Fri, 14 Apr 2023 13:08:21 +0000 (UTC)"
=?UTF-8?Q?Welcome_to_the_Flight_Bazaar=C2=A0=F0=9F=98=8D?=,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Fri, 14 Apr 2023 18:27:02 +0530"
Best jobs for you | GeeksforGeeks,GeeksforGeeks <no-reply@geeksforgeeks.org>,no-reply@geeksforgeeks.org,"Fri, 14 Apr 2023 10:15:23 +0000"
"Escorts Kubota Limited is hiring: Assistant Manager- R&D(Railway
 Business).",LinkedIn <jobs-listings@linkedin.com>,jobs-listings@linkedin.com,"Fri, 14 Apr 2023 09:28:58 +0000 (UTC)"
You are Eligible for Free Amazon Business Account,Amazon Business <no-reply@business.amazon.in>,no-reply@business.amazon.in,"Fri, 14 Apr 2023 09:21:58 +0000"
"=?utf-8?Q?Your_curated_list_of_fresher_jobs_&_internships!?=
 =?utf-8?Q?_=F0=9F=9A=80?=","""Varsha from Prosple"" <varsha@prosple.com>",varsha@prosple.com,"Thu, 13 Apr 2023 18:12:46 -0500"
Updates to YouTube's Terms of Service,YouTube <no-reply@youtube.com>,no-reply@youtube.com,"Fri, 26 Nov 2021 22:16:25 -0800"
=?UTF-8?Q?NOW_OPEN:_Travel_Deals_Ka_Bazaar_=F0=9F=9B=92?=,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Thu, 13 Apr 2023 21:31:38 +0530"
"=?utf-8?q?=E0=A4=95=E0=A5=8D=E0=A4=AF=E0=A4=BE_=E0=A4=9F=E0=A5=8D=E0=A4=B0?=
 =?utf-8?q?=E0=A5=87=E0=A4=A8_=E0=A4=AE=E0=A5=87=E0=A4=82_=E0=A4=AC=E0=A4=B0?=
 =?utf-8?q?=E0=A5=8D=E0=A4=A5_=E0=A4=AC=E0=A4=A6=E0=A4=B2=E0=A4=A8=E0=A4=BE_?=
 =?utf-8?q?=E0=A4=95=E0=A4=BE=E0=A4=A8=E0=A5=82=E0=A4=A8=E0=A5=80_=E0=A4=A4?=
 =?utf-8?q?=E0=A5=8C=E0=A4=B0_=E0=A4=AA=E0=A4=B0_=E0=A4=B8=E0=A4=B9=E0=A5=80?=
 =?utf-8?q?_=E0=A4=B9=E0=A5=88=3F_=E0=A4=87=E0=A4=B8=E0=A4=95=E0=A5=87_?=
 =?utf-8?q?=E0=A4=95=E0=A5=8D=E0=A4=AF=E0=A4=BE_=E0=A4=A6=E0=A5=81=E0=A4=B7?=
 =?utf-8?q?=E0=A5=8D=E0=A4=AA=E0=A4=B0=E0=A4=BF=E0=A4=A3=E0=A4=BE=E0=A4=AE_?=
 =?utf-8?q?=E0=A4=B9=E0=A5=8B_=E0=A4=B8=E0=A4=95=E0=A4=A4=E0=A5=87_=E0=A4=B9?=
 =?utf-8?q?=E0=A5=88=E0=A4=82=E0=A4=82=3F?=","=?utf-8?q?Quora_=E0=A4=9C=E0=A5=8D=E0=A4=9E=E0=A4=BE=E0=A4=A8_=E0=A4=95?=
 =?utf-8?q?=E0=A4=BE_=E0=A4=AA=E0=A4=BF=E0=A4=9F=E0=A4=BE=E0=A4=B0=E0=A4=BE?=
 <hindi-personalized-digest@quora.com>",hindi-personalized-digest@quora.com,"Thu, 13 Apr 2023 13:44:03 +0000"
"""Essential Skills for Every Data Scientist: A Must-Attend
 =?UTF-8?B?V2ViaW5hciLwn5GH?=",upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Thu, 13 Apr 2023 13:29:47 +0000 (UTC)"
[Invite] Introduction to Data Science!,Team Scaler <hello@scaler.com>,hello@scaler.com,"Thu, 13 Apr 2023 12:47:28 +0000 (UTC)"
"=?UTF-8?B?8J+MnuKYgO+4j/Cfj4rigI3imYDvuI/wn4+E4oCN4pmC77iPIEdl?=
 =?UTF-8?B?dCBSZWFkeSBmb3IgRnVuIGluIHRoZSBTdW4=?=","""Decathlon India"" <communication@email.decathlon.in>",communication@email.decathlon.in,"Thu, 13 Apr 2023 02:11:49 -0600"
Apple is hiring: Packaging Product Design Engineer.,LinkedIn <jobs-listings@linkedin.com>,jobs-listings@linkedin.com,"Thu, 13 Apr 2023 08:00:08 +0000 (UTC)"
Reach your career goals with Coursera Plus,"""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Wed, 12 Apr 2023 14:22:32 -0600"
Don't miss out Mudit,Myprotein <info@n.myprotein.com>,info@n.myprotein.com,"Wed, 12 Apr 2023 19:51:24 +0000 (UTC)"
Would you recommend Myprotein? Let us know,Myprotein <info@n.myprotein.com>,info@n.myprotein.com,"Wed, 12 Apr 2023 19:01:05 +0000 (UTC)"
"Ready for your trip to BKN? Don't forget to order delicious
 restaurant food at your train seat!",IRCTC eCatering <ecatering@irctc.co.in>,ecatering@irctc.co.in,"Wed, 12 Apr 2023 22:45:27 +0530"
=?UTF-8?Q?=F0=9F=A4=A9Tap_to_Unwrap_Super_Saver_Deal!=F0=9F=92=B0?=,EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Wed, 12 Apr 2023 19:17:27 +0530"
"Recruitment of Executive Trainees 2023 through GATE 2021 / 2022 /
 2023 in NPCIL",noreply.npcilcareers@nic.in,noreply.npcilcareers@nic.in,12 Apr 2023 19:07:15 +0530
Pluga Franklin Electric is hiring: Mechanical Designer.,LinkedIn <jobs-listings@linkedin.com>,jobs-listings@linkedin.com,"Wed, 12 Apr 2023 09:26:34 +0000 (UTC)"
E-account statement for your SBI account(s).,cbssbi.cas@alerts.sbi.co.in,cbssbi.cas@alerts.sbi.co.in,"Wed, 12 Apr 2023 11:42:29 +0530"
"=?utf-8?B?TGVhdmUgdGhlIHBlbiBiZWhpbmQgYW5kIHNpZ24gZWxlY3Rybw==?=
 =?utf-8?B?bmljYWxseQ==?=","""Adobe Acrobat"" <mail@mail.adobe.com>",mail@mail.adobe.com,"Tue, 11 Apr 2023 22:18:02 -0700"
There's still time to complete your purchase!,Myprotein <info@n.myprotein.com>,info@n.myprotein.com,"Wed, 12 Apr 2023 03:41:01 +0000 (UTC)"
"=?utf-8?Q?Your_curated_list_of_fresher_jobs_&_internships!?=
 =?utf-8?Q?_=F0=9F=9A=80?=","""Varsha from Prosple"" <varsha@prosple.com>",varsha@prosple.com,"Tue, 11 Apr 2023 18:07:35 -0500"
Grow your career with job-ready learning,"""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Tue, 11 Apr 2023 11:55:16 -0600"
=?utf-8?B?TmV4dCBzdG9wOiBBdXN0cmlhIOKciO+4jw==?=,"""IndiGo"" <mailers@marketing.goindigo.in>",mailers@marketing.goindigo.in,"Tue, 11 Apr 2023 19:57:38 +0530"
Unlock Your Legal Success: Join Our Premier Law Program Today!,upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Tue, 11 Apr 2023 12:25:05 +0000 (UTC)"
"=?UTF-8?Q?=F0=9F=9B=ABEscape_to_Paradise_with_Alula_Holidays!_?=
 =?UTF-8?Q?=F0=9F=91=87?=",EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Tue, 11 Apr 2023 17:16:50 +0530"
"=?utf-8?B?8J+SsEJlbmVmaXRzIHdvcnRoIFJzLiA2MCwwMDAqIHdhaXRp?=
	=?utf-8?B?bmcgZm9yIHlvdSwgTXVkaXQgIFZ5YXMg8J+YjQ==?=",HDFC Bank <information@hdfcbank.net>,information@hdfcbank.net,"Tue, 11 Apr 2023 16:51:55 +0530"
Hurry Up! You are 3 steps away to save on your business purchases,Amazon Business <no-reply@business.amazon.in>,no-reply@business.amazon.in,"Tue, 11 Apr 2023 10:09:36 +0000"
Hurry! Create a free Amazon Business account in 1 minute!,Amazon Business <no-reply@business.amazon.in>,no-reply@business.amazon.in,"Tue, 11 Apr 2023 10:06:18 +0000"
Is this what you were looking for?,Myprotein <info@n.myprotein.com>,info@n.myprotein.com,"Tue, 11 Apr 2023 09:51:40 +0000 (UTC)"
"Booking Confirmation on IRCTC, Train: 12490, 13-Apr-2023, THIRD AC
 (3A), JOR - BKN",<ticketadmin@irctc.co.in>,ticketadmin@irctc.co.in,"Tue, 11 Apr 2023 14:21:32 +0530 (IST)"
"Booking Confirmation on IRCTC, Train: 12490, 13-Apr-2023, 3A, JOR -
 BKN",ticketadmin@irctc.co.in,ticketadmin@irctc.co.in,"Tue, 11 Apr 2023 14:20:59 +0530 (IST)"
Looking for a nearby getaway?,"""Tripadvisor"" <savings@mp1.tripadvisor.com>",savings@mp1.tripadvisor.com,"Tue, 11 Apr 2023 03:42:47 +0000"
Combat Inequities Across Health and Technology With Michigan Online,"""University of Michigan"" <no-reply@m.mail.coursera.org>",no-reply@m.mail.coursera.org,"Mon, 10 Apr 2023 23:11:36 +0000"
Weekly update in Introduction to Data Analytics,"""Coursera"" <no-reply@m.mail.coursera.org>",no-reply@m.mail.coursera.org,"Mon, 10 Apr 2023 19:09:27 +0000"
Your Telephone Bill generated in the month of Apr'2023,BSNL Care -NZ <BSNL@ndc.bsnl.co.in>,BSNL@ndc.bsnl.co.in,"Mon, 10 Apr 2023 23:33:12"
Can we help with your order?,Myprotein <info@n.myprotein.com>,info@n.myprotein.com,"Mon, 10 Apr 2023 17:41:03 +0000 (UTC)"
Recommended: Google IT Support,"""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Mon, 10 Apr 2023 07:41:05 -0600"
Get ready for Week 2,"""Introduction to Data Analytics"" <no-reply@t.mail.coursera.org>",no-reply@t.mail.coursera.org,"Mon, 10 Apr 2023 13:07:37 +0000"
"Mudit, here are top recommendations for your feed",LinkedIn <messages-noreply@linkedin.com>,messages-noreply@linkedin.com,"Mon, 10 Apr 2023 13:01:26 +0000 (UTC)"
=?UTF-8?Q?=F0=9F=91=80Escape_the_Monday_Blues!=F0=9F=9B=AB?=,EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Mon, 10 Apr 2023 18:27:25 +0530"
"You don't have to struggle with finances while choosing your desired
 career",upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Mon, 10 Apr 2023 12:08:55 +0000 (UTC)"
Tata Technologies is hiring: Durability.,LinkedIn <jobs-listings@linkedin.com>,jobs-listings@linkedin.com,"Mon, 10 Apr 2023 09:37:41 +0000 (UTC)"
"=?utf-8?Q?Your_curated_list_of_fresher_jobs_&_internships!?=
 =?utf-8?Q?_=F0=9F=9A=80?=","""Varsha from Prosple"" <varsha@prosple.com>",varsha@prosple.com,"Sun, 09 Apr 2023 19:59:26 -0500"
Up to 28% off with GST Invoice with Your FREE Amazon Business Account,Amazon Business <no-reply@business.amazon.in>,no-reply@business.amazon.in,"Sun, 9 Apr 2023 07:33:58 +0000"
=?UTF-8?Q?FREE_STAY_ALERT:_NOW_OR_NEVER_=E2=9A=A0=EF=B8=8F?=,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Sun, 09 Apr 2023 09:49:45 +0530"
Verify your ID to receive your certificate,"""Coursera"" <no-reply@t.mail.coursera.org>",no-reply@t.mail.coursera.org,"Sat, 08 Apr 2023 16:07:41 +0000"
Financial Aid Application Approved,"""Coursera"" <no-reply@t.mail.coursera.org>",no-reply@t.mail.coursera.org,"Sat, 08 Apr 2023 16:07:41 +0000"
Live Masterclass : MBA,upGrad <info@updates.upgrad.com>,info@updates.upgrad.com,"Sat, 08 Apr 2023 13:13:31 +0000 (UTC)"
Build Your Next BIG Product with Low/No Code Platforms!,Team Scaler <hello@scaler.com>,hello@scaler.com,"Sat, 08 Apr 2023 12:38:46 +0000 (UTC)"
=?UTF-8?B?Q0JTU0JJIEFMRVJU?=,=?UTF-8?B??= <cbsalerts.sbi@alerts.sbi.co.in>,cbsalerts.sbi@alerts.sbi.co.in,"Sat, 8 Apr 2023 16:47:36 +0530"
Earn a certificate from a top university,"""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Fri, 07 Apr 2023 20:47:09 -0600"
"To Boldly Go: Airbus is innovating from satellites and SAF to the
 sporting arena",Airbus via LinkedIn <newsletters-noreply@linkedin.com>,newsletters-noreply@linkedin.com,"Fri, 7 Apr 2023 15:08:35 +0000 (UTC)"
Learn to lead through change,"""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Fri, 07 Apr 2023 08:31:43 -0600"
Mudit Vyas We're grateful to you,"""Anoj "" <anoj@milaap.org>",anoj@milaap.org,"Fri, 07 Apr 2023 11:32:55 +0000"
Upgrade to FREE Amazon Business Account ,Amazon Business <no-reply@business.amazon.in>,no-reply@business.amazon.in,"Fri, 7 Apr 2023 10:21:14 +0000"
=?UTF-8?Q?=F0=9F=8C=9EMake_Your_Summer_Memorable=F0=9F=9B=AB?=,EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Fri, 07 Apr 2023 14:37:31 +0530"
Google is hiring: Data Analyst.,LinkedIn <jobs-listings@linkedin.com>,jobs-listings@linkedin.com,"Fri, 7 Apr 2023 08:03:06 +0000 (UTC)"
"NPTEL Newsletter: Application open for for M.Sc Program at Department
 of Economic Sciences (IIT Kanpur) - Apply now!",NPTEL <onlinecourses@nptel.iitm.ac.in>,onlinecourses@nptel.iitm.ac.in,"Fri, 7 Apr 2023 12:45:55 +0530"
"=?UTF-8?Q?=E2=9C=89=EF=B8=8FINSIDE:_Solution_to_All_Your_Adjustments_?=
 =?UTF-8?Q?=F0=9F=98=8D?=",Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Fri, 07 Apr 2023 09:19:49 +0530"
"Refer & win clothing worth Rs. 10,000",Myprotein <info@n.myprotein.com>,info@n.myprotein.com,"Fri, 07 Apr 2023 03:30:55 +0000 (UTC)"
"=?utf-8?Q?Your_curated_list_of_fresher_jobs_&_internships!?=
 =?utf-8?Q?_=F0=9F=9A=80?=","""Varsha from Prosple"" <varsha@prosple.com>",varsha@prosple.com,"Thu, 06 Apr 2023 18:10:14 -0500"
Your Telephone Bill generated in the month of Apr'2023,BSNL Care -NZ <BSNL@ndc.bsnl.co.in>,BSNL@ndc.bsnl.co.in,"Thu, 6 Apr 2023 22:58:48"
=?UTF-8?Q?Tap_to_Save_Extra!=F0=9F=A4=91=F0=9F=92=B0?=,EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Thu, 06 Apr 2023 20:11:43 +0530"
NASA Mars Exploration Newsletter: April 2023,"""NASA Mars"" <no-reply-mars@jpl.nasa.gov>",no-reply-mars@jpl.nasa.gov,"Thu, 06 Apr 2023 09:02:24 -0400"
"Mudit, Learn how to sell your gear on Bajaao Used Gear ","""Bajaao Connect"" <helpdesk@email.bajaao.com>",helpdesk@email.bajaao.com,"Thu, 06 Apr 2023 11:59:24 +0000"
=?UTF-8?Q?Data_Analytics_Course_at_Lowest_=E2=82=B9=E2=9A=A1?=,GeeksforGeeks <no-reply@geeksforgeeks.org>,no-reply@geeksforgeeks.org,"Thu, 6 Apr 2023 08:12:33 +0000"
=?UTF-8?B?4oK5NjAsMDAwIHRhayBrYSBjcmVkaXQsIDAlIGludGVyZXN0IHBhciDwn6SpIPCfkrg=?=,=?UTF-8?B?UGF5dG0gT2ZmZXJz?= <noreply@paytmoffers.in>,noreply@paytmoffers.in,"Thu, 6 Apr 2023 12:48:29 +0530"
=?utf-8?B?V2Vla2VuZCBBd2F5OiBTZWUgd2hhdOKAmXMgbmV3IGluIFRva3lv?=,"""Tripadvisor"" <inspiration@mp1.tripadvisor.com>",inspiration@mp1.tripadvisor.com,"Thu, 06 Apr 2023 03:22:07 +0000"
=?UTF-8?Q?Tilak_C=E2=80=99S_invitation_is_waiting_for_your_response?=,"""Tilak C (via LinkedIn)"" <messages-noreply@linkedin.com>",messages-noreply@linkedin.com,"Thu, 6 Apr 2023 01:33:21 +0000 (UTC)"
Did you know that your work from Using Databases with Python can lead to a degree?,"""Coursera"" <no-reply@m.mail.coursera.org>",no-reply@m.mail.coursera.org,"Wed, 05 Apr 2023 17:22:32 +0000"
=?UTF-8?Q?=F0=9F=A4=91Unbeatable_Hotel_Deals_A_Click_Away!=F0=9F=91=87?=,EaseMyTrip <info@easemytrip.com>,info@easemytrip.com,"Wed, 05 Apr 2023 22:02:06 +0530"
"=?UTF-8?B?WW914oCZdmUgY29tcGxldGVkIFVzaW5nIERhdGFiYXNlcyB3aXRo?=
 =?UTF-8?B?IFB5dGhvbg==?=","""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Wed, 05 Apr 2023 10:03:33 -0600"
[Invite] Learn Tableau for Data Science Roles!,Team Scaler <hello@scaler.com>,hello@scaler.com,"Wed, 05 Apr 2023 13:08:43 +0000 (UTC)"
Pending: (1) Road Trip!,Goibibo <noreply@content.goibibo.com>,noreply@content.goibibo.com,"Wed, 05 Apr 2023 16:02:09 +0530"
Volvo Energy is hiring: Battery Analyst.,LinkedIn <jobs-listings@linkedin.com>,jobs-listings@linkedin.com,"Wed, 5 Apr 2023 08:50:50 +0000 (UTC)"
You are Eligible for Free Amazon Business Account,Amazon Business <no-reply@business.amazon.in>,no-reply@business.amazon.in,"Wed, 5 Apr 2023 08:45:36 +0000"
NPTEL Newsletter: NPTEL+: Upcoming Workshops - Hurry up and Register today!,NPTEL <onlinecourses@nptel.iitm.ac.in>,onlinecourses@nptel.iitm.ac.in,"Wed, 5 Apr 2023 09:28:44 +0530"
"Choose from affordable, flexible learning programs","""Coursera"" <Coursera@email.coursera.org>",Coursera@email.coursera.org,"Tue, 04 Apr 2023 20:57:35 -0600"
