,Firm,Sender Email,Day,Date,Month,Year,Time_24hr_offset,Parts_of_the_day,noreply,Month_year
263,Rapido Bike Taxi ,hello@updates.rapido.bike,Sun,14,May,2023,05:32:52,Morning,0,May 2023
264,LinkedIn,jobalerts-noreply@linkedin.com,Sun,14,May,2023,04:50:42,Night,1,May 2023
265,MADE EASY ,info@madeeasyprime.com,Sun,14,May,2023,04:39:38,Night,0,May 2023
266,Gaucho - Buenos Aires ,hello@gauchobuenosaires.com,Sat,13,May,2023,06:03:15,Morning,0,May 2023
267,upGrad ,info@updates.upgrad.com,Sat,13,May,2023,04:50:17,Night,0,May 2023
268,upGrad ,info@updates.upgrad.com,Sat,13,May,2023,04:25:26,Night,0,May 2023
269,EaseMyTrip ,info@easemytrip.com,Sat,13,May,2023,13:26:34,Afternoon,0,May 2023
270,Team Scaler ,hello@scaler.com,Sat,13,May,2023,02:03:34,Night,0,May 2023
271,Myprotein ,info@n.myprotein.com,Sat,13,May,2023,02:01:54,Night,0,May 2023
272,EaseMyTrip ,info@easemytrip.com,Sat,13,May,2023,07:16:36,Morning,0,May 2023
273,LinkedIn,jobalerts-noreply@linkedin.com,Sat,13,May,2023,04:49:33,Night,1,May 2023
274,LinkedIn,messaging-digest-noreply@linkedin.com,Sat,13,May,2023,04:06:52,Night,1,May 2023
275,Datacamp,team@datacamp.com,Sat,13,May,2023,03:23:11,Night,0,May 2023
276,Anish Mitra ,invitations@linkedin.com,Sat,13,May,2023,01:23:42,Night,0,May 2023
277,Tripadvisor ,savings@mp1.tripadvisor.com,Fri,12,May,2023,03:12:13,Night,0,May 2023
278,Coursera ,Coursera@email.coursera.org,Fri,12,May,2023,19:46:29,Evening,0,May 2023
279,LinkedIn,jobs-noreply@linkedin.com,Fri,12,May,2023,07:41:01,Morning,1,May 2023
280,Myprotein ,info@n.myprotein.com,Fri,12,May,2023,06:00:54,Morning,0,May 2023
281,Coursera ,Coursera@email.coursera.org,Fri,12,May,2023,02:32:07,Night,0,May 2023
282,DEBITCARD ,DEBITCARD.CB@communications.sbi.co.in,Fri,12,May,2023,13:25:12,Afternoon,0,May 2023
283,Goibibo ,noreply@content.goibibo.com,Fri,12,May,2023,12:52:27,Afternoon,1,May 2023
284,EaseMyTrip ,info@easemytrip.com,Fri,12,May,2023,09:22:38,Morning,0,May 2023
285,LinkedIn,jobalerts-noreply@linkedin.com,Fri,12,May,2023,04:37:50,Night,1,May 2023
286,Amazon,no-reply@business.amazon.in,Fri,12,May,2023,03:57:46,Night,0,May 2023
287,Varsha from Prosple ,varsha@prosple.com,Thu,11,May,2023,03:10:06,Night,0,May 2023
288,Coursera ,Coursera@email.coursera.org,Thu,11,May,2023,22:43:42,Night,0,May 2023
289,Google,calendar-notification@google.com,Thu,11,May,2023,08:30:08,Morning,0,May 2023
290,Myprotein ,info@n.myprotein.com,Thu,11,May,2023,06:00:17,Morning,0,May 2023
291,Gaucho - Buenos Aires ,hello@gauchobuenosaires.com,Thu,11,May,2023,05:00:36,Morning,0,May 2023
292,upGrad ,info@updates.upgrad.com,Thu,11,May,2023,02:35:15,Night,0,May 2023
293,FabHotels ,newsfeed@stayatfabhotels.com,Thu,11,May,2023,01:30:35,Night,0,May 2023
294,Quantium (Forage) ,admin@theforage.com,Thu,11,May,2023,01:06:13,Night,0,May 2023
295,Goibibo ,noreply@content.goibibo.com,Thu,11,May,2023,11:25:13,Morning,1,May 2023
296,SBI,yonosbi@alerts.sbi.co.in,Thu,11,May,2023,11:03:18,Morning,0,May 2023
297,EaseMyTrip ,info@easemytrip.com,Thu,11,May,2023,09:27:08,Morning,0,May 2023
298,LinkedIn,invitations@linkedin.com,Thu,11,May,2023,06:23:52,Morning,0,May 2023
299,LinkedIn,invitations@linkedin.com,Thu,11,May,2023,05:53:37,Morning,0,May 2023
300,LinkedIn,jobalerts-noreply@linkedin.com,Thu,11,May,2023,04:58:27,Night,1,May 2023
301,LinkedIn,jobs-noreply@linkedin.com,Wed,10,May,2023,08:55:13,Morning,1,May 2023
302,Team Scaler ,academy@mailer.scaler.com,Wed,10,May,2023,22:10:16,Night,0,May 2023
303,EaseMyTrip ,info@easemytrip.com,Wed,10,May,2023,13:03:51,Afternoon,0,May 2023
304,Forage ,admin@theforage.com,Wed,10,May,2023,01:05:16,Night,0,May 2023
305,Forage ,admin@theforage.com,Wed,10,May,2023,01:05:04,Night,0,May 2023
306,Forage ,admin@theforage.com,Wed,10,May,2023,01:05:03,Night,0,May 2023
307,upGrad ,info@updates.upgrad.com,Wed,10,May,2023,09:55:25,Morning,0,May 2023
308,LinkedIn,linkedin@e.linkedin.com,Wed,10,May,2023,19:29:53,Evening,0,May 2023
309,LinkedIn,jobs-listings@linkedin.com,Wed,10,May,2023,09:27:06,Morning,0,May 2023
310,Decathlon India ,communication@email.decathlon.in,Wed,10,May,2023,20:36:07,Evening,0,May 2023
311,Ferns N Petals ,happiness@moments.fnp.com,Wed,10,May,2023,07:32:19,Morning,0,May 2023
312,LinkedIn,messages-noreply@linkedin.com,Wed,10,May,2023,05:01:30,Morning,1,May 2023
313,LinkedIn,jobalerts-noreply@linkedin.com,Wed,10,May,2023,04:48:50,Night,1,May 2023
314,trivago ,newsletter@email.trivago.com,Tue,9,May,2023,02:18:20,Night,0,May 2023
315,Varsha from Prosple ,varsha@prosple.com,Tue,9,May,2023,03:07:25,Night,0,May 2023
316,LinkedIn,invitations@linkedin.com,Tue,9,May,2023,08:53:36,Morning,0,May 2023
317,Coursera ,Coursera@email.coursera.org,Tue,9,May,2023,20:00:23,Evening,0,May 2023
318,LinkedIn,invitations@linkedin.com,Tue,9,May,2023,07:08:53,Morning,0,May 2023
319,Niantic ,niantic@email.nianticlabs.com,Tue,9,May,2023,04:00:00,Night,0,May 2023
320,upGrad ,info@updates.upgrad.com,Tue,9,May,2023,04:25:15,Night,0,May 2023
321,Coursera ,no-reply@m.mail.coursera.org,Tue,9,May,2023,04:14:11,Night,0,May 2023
322,LinkedIn,messages-noreply@linkedin.com,Tue,9,May,2023,03:01:27,Night,1,May 2023
323,NPTEL ,onlinecourses@nptel.iitm.ac.in,Tue,9,May,2023,12:30:00,Afternoon,0,May 2023
324,LinkedIn,messages-noreply@linkedin.com,Tue,9,May,2023,01:33:21,Night,1,May 2023
325,LinkedIn,messages-noreply@linkedin.com,Tue,9,May,2023,01:29:28,Night,1,May 2023
326,EaseMyTrip ,info@easemytrip.com,Tue,9,May,2023,12:08:45,Afternoon,0,May 2023
327,Quantium (Forage) ,admin@theforage.com,Tue,9,May,2023,01:04:59,Night,0,May 2023
328,BSNL Care -NZ ,BSNL@ndc.bsnl.co.in,Tue,9,May,2023,06:28:48,Morning,0,May 2023
329,upGrad ,info@updates.upgrad.com,Tue,9,May,2023,09:55:31,Morning,0,May 2023
330,Coursera ,no-reply@m.mail.coursera.org,Tue,9,May,2023,08:07:37,Morning,0,May 2023
331,Institute of Company Secretaries of India ,dnr@icsi.edu,Tue,9,May,2023,05:28:30,Morning,0,May 2023
332,LinkedIn,jobalerts-noreply@linkedin.com,Tue,9,May,2023,04:38:21,Night,1,May 2023
333,Coursera ,no-reply@t.mail.coursera.org,Tue,9,May,2023,03:51:32,Night,0,May 2023
334,Coursera ,no-reply@t.mail.coursera.org,Tue,9,May,2023,03:51:24,Night,0,May 2023
335,Adobe Acrobat ,mail@mail.adobe.com,Mon,8,May,2023,17:08:44,Evening,0,May 2023
336,University of Michigan ,no-reply@m.mail.coursera.org,Mon,8,May,2023,03:45:52,Night,0,May 2023
337,Coursera ,Coursera@email.coursera.org,Mon,8,May,2023,00:05:04,Night,0,May 2023
338,Google,calendar-notification@google.com,Mon,8,May,2023,08:29:53,Morning,0,May 2023
339,LinkedIn,jobalerts-noreply@linkedin.com,Mon,8,May,2023,08:03:27,Morning,1,May 2023
340,GitHub ,noreply@github.com,Mon,8,May,2023,02:28:58,Night,1,May 2023
341,GitHub ,noreply@github.com,Mon,8,May,2023,02:28:31,Night,1,May 2023
342,upGrad ,info@updates.upgrad.com,Mon,8,May,2023,04:56:25,Night,0,May 2023
343,Coursera ,Coursera@email.coursera.org,Mon,8,May,2023,01:37:41,Night,0,May 2023
344,EaseMyTrip ,info@easemytrip.com,Mon,8,May,2023,13:11:31,Afternoon,0,May 2023
345,ASICS ,noreply-in@asics.com,Mon,8,May,2023,01:42:42,Night,1,May 2023
346,NPTEL ,onlinecourses@nptel.iitm.ac.in,Mon,8,May,2023,11:23:54,Morning,0,May 2023
347,Amazon,no-reply@business.amazon.in,Mon,8,May,2023,08:26:37,Morning,0,May 2023
348,LinkedIn,jobs-listings@linkedin.com,Mon,8,May,2023,08:11:10,Morning,0,May 2023
349,Datacamp,team@datacamp.com,Mon,8,May,2023,05:43:42,Morning,0,May 2023
350,LinkedIn,jobalerts-noreply@linkedin.com,Mon,8,May,2023,04:43:21,Night,1,May 2023
351,Tripadvisor ,inspiration@mp1.tripadvisor.com,Mon,8,May,2023,03:00:32,Night,0,May 2023
352,Varsha from Prosple ,varsha@prosple.com,Sun,7,May,2023,04:08:16,Night,0,May 2023
353,SBI,cbssbi.cas@alerts.sbi.co.in,Mon,8,May,2023,09:14:31,Morning,0,May 2023
354,EaseMyTrip ,info@easemytrip.com,Sun,7,May,2023,09:56:34,Morning,0,May 2023
355,Myprotein ,info@n.myprotein.com,Sun,7,May,2023,07:01:02,Morning,0,May 2023
356,Ferns N Petals ,happiness@moments.fnp.com,Sun,7,May,2023,06:45:29,Morning,0,May 2023
357,LinkedIn,messaging-digest-noreply@linkedin.com,Sun,7,May,2023,05:48:19,Morning,1,May 2023
358,ASICS ,noreply-in@asics.com,Sun,7,May,2023,05:42:42,Morning,1,May 2023
359,LinkedIn,jobalerts-noreply@linkedin.com,Sun,7,May,2023,04:37:52,Night,1,May 2023
360,Goibibo ,noreply@content.goibibo.com,Sun,7,May,2023,14:13:28,Afternoon,1,May 2023
361,ASICS ,noreply-in@asics.com,Sun,7,May,2023,03:00:55,Night,1,May 2023
362,Google,noreply-maps-timeline@google.com,Sat,6,May,2023,01:06:19,Night,1,May 2023
363,Datacamp,team@datacamp.com,Sat,6,May,2023,03:36:07,Night,0,May 2023
364,LinkedIn,jobs-noreply@linkedin.com,Sat,6,May,2023,08:13:27,Morning,1,May 2023
365,Google,calendar-notification@google.com,Sat,6,May,2023,07:00:02,Morning,0,May 2023
366,LinkedIn,linkedin@e.linkedin.com,Sat,6,May,2023,02:17:14,Night,0,May 2023
367,Gaucho - Buenos Aires ,hello@gauchobuenosaires.com,Sat,6,May,2023,06:03:04,Morning,0,May 2023
368,BSNL Care -NZ ,BSNL@ndc.bsnl.co.in,Sat,6,May,2023,09:15:43,Morning,0,May 2023
369,Google,google-pay-noreply@google.com,Sat,6,May,2023,23:47:11,Night,1,May 2023
370,premals98@gmail.com,premals98@gmail.com,Sat,6,May,2023,03:35:35,Night,0,May 2023
371,Team Scaler ,hello@scaler.com,Sat,6,May,2023,03:04:07,Night,0,May 2023
372,Swiggy ,noreply@swiggy.in,Sat,6,May,2023,01:14:10,Night,1,May 2023
373,Uber ,uber.india@uber.com,Sat,6,May,2023,00:26:19,Night,0,May 2023
374,EaseMyTrip ,info@easemytrip.com,Sat,6,May,2023,11:14:54,Morning,0,May 2023
375,Amazon,no-reply@business.amazon.in,Sat,6,May,2023,06:19:38,Morning,0,May 2023
376,Myprotein ,info@n.myprotein.com,Sat,6,May,2023,05:01:00,Morning,0,May 2023
377,LinkedIn,jobalerts-noreply@linkedin.com,Sat,6,May,2023,04:42:09,Night,1,May 2023
378,Coursera ,Coursera@email.coursera.org,Fri,5,May,2023,02:07:16,Night,0,May 2023
379,Google,calendar-notification@google.com,Fri,5,May,2023,08:59:53,Morning,0,May 2023
380,Coursera ,no-reply@m.mail.coursera.org,Fri,5,May,2023,06:08:34,Morning,0,May 2023
381,LIC Instapay ,licreceipt@billdesk.in,Fri,5,May,2023,06:03:20,Morning,0,May 2023
382,EaseMyTrip ,info@easemytrip.com,Fri,5,May,2023,14:45:15,Afternoon,0,May 2023
383,SBI,yonosbi@alerts.sbi.co.in,Fri,5,May,2023,10:16:11,Morning,0,May 2023
384,Coursera ,no-reply@m.mail.coursera.org,Fri,5,May,2023,05:43:16,Morning,0,May 2023
385,LinkedIn,jobalerts-noreply@linkedin.com,Fri,5,May,2023,04:49:32,Night,1,May 2023
386,Varsha from Prosple ,varsha@prosple.com,Thu,4,May,2023,03:05:24,Night,0,May 2023
387,LinkedIn,jobs-noreply@linkedin.com,Thu,4,May,2023,09:32:09,Morning,1,May 2023
388,Datacamp,team@datacamp.com,Thu,4,May,2023,08:24:16,Morning,0,May 2023
389,Goibibo ,noreply@content.goibibo.com,Thu,4,May,2023,13:24:56,Afternoon,1,May 2023
390,EaseMyTrip ,info@easemytrip.com,Thu,4,May,2023,13:20:50,Afternoon,0,May 2023
391,Team Scaler ,academy@mailer.scaler.com,Thu,4,May,2023,22:05:35,Night,0,May 2023
392,Amazon,no-reply@business.amazon.in,Thu,4,May,2023,05:23:38,Morning,0,May 2023
393,LinkedIn,jobalerts-noreply@linkedin.com,Thu,4,May,2023,04:54:13,Night,1,May 2023
394,LinkedIn,messages-noreply@linkedin.com,Thu,4,May,2023,01:33:24,Night,1,May 2023
395,Myprotein ,info@n.myprotein.com,Thu,4,May,2023,00:50:57,Night,0,May 2023
396,Goibibo ,noreply@content.goibibo.com,Wed,3,May,2023,14:44:23,Afternoon,1,May 2023
397,Team Scaler ,academy@mailer.scaler.com,Wed,3,May,2023,22:39:35,Night,0,May 2023
398,upGrad ,info@updates.upgrad.com,Wed,3,May,2023,00:26:58,Night,0,May 2023
399,LinkedIn,jobs-listings@linkedin.com,Wed,3,May,2023,09:39:34,Morning,0,May 2023
400,Myprotein ,info@n.myprotein.com,Wed,3,May,2023,08:41:17,Morning,0,May 2023
401,NPTEL ,onlinecourses@nptel.iitm.ac.in,Wed,3,May,2023,06:40:15,Morning,0,May 2023
402,LinkedIn,jobalerts-noreply@linkedin.com,Wed,3,May,2023,04:51:30,Night,1,May 2023
403,LinkedIn,messages-noreply@linkedin.com,Wed,3,May,2023,02:50:00,Night,1,May 2023
404,Varsha from Prosple ,varsha@prosple.com,Tue,2,May,2023,03:06:22,Night,0,May 2023
405,Myprotein ,info@n.myprotein.com,Tue,2,May,2023,04:51:24,Night,0,May 2023
406,LinkedIn,messages-noreply@linkedin.com,Tue,2,May,2023,03:01:28,Night,1,May 2023
407,LinkedIn,invitations@linkedin.com,Tue,2,May,2023,07:38:34,Morning,0,May 2023
408,Tripadvisor ,awards@mp1.tripadvisor.com,Tue,2,May,2023,00:32:17,Night,0,May 2023
409,Myprotein ,info@n.myprotein.com,Mon,1,May,2023,02:40:53,Night,0,May 2023
410,Coursera ,Coursera@email.coursera.org,Mon,1,May,2023,20:40:03,Evening,0,May 2023
411,LinkedIn,jobalerts-noreply@linkedin.com,Mon,1,May,2023,06:03:36,Morning,1,May 2023
412,LinkedIn,messages-noreply@linkedin.com,Mon,1,May,2023,04:20:00,Night,1,May 2023
413,NPTEL ,onlinecourses@nptel.iitm.ac.in,Mon,1,May,2023,11:30:34,Morning,0,May 2023
414,SBI,yonosbi@alerts.sbi.co.in,Mon,1,May,2023,10:16:22,Morning,0,May 2023
415,Goibibo ,noreply@content.goibibo.com,Mon,1,May,2023,09:29:31,Morning,1,May 2023
416,Splitwise ,hello@splitwise.com,Mon,1,May,2023,08:27:22,Morning,0,May 2023
417,upGrad ,info@updates.upgrad.com,Mon,1,May,2023,07:33:35,Morning,0,May 2023
418,Adobe Acrobat ,mail@mail.adobe.com,Sun,30,Apr,2023,01:21:37,Night,0,Apr 2023
419,Varsha from Prosple ,varsha@prosple.com,Sun,30,Apr,2023,04:07:52,Night,0,Apr 2023
420,Coursera ,Coursera@email.coursera.org,Sun,30,Apr,2023,18:03:05,Evening,0,Apr 2023
421,EaseMyTrip ,info@easemytrip.com,Sun,30,Apr,2023,11:02:27,Morning,0,Apr 2023
422,upGrad ,info@updates.upgrad.com,Sat,29,Apr,2023,04:00:36,Night,0,Apr 2023
423,EaseMyTrip ,info@easemytrip.com,Sat,29,Apr,2023,13:16:52,Afternoon,0,Apr 2023
424,Myprotein ,info@n.myprotein.com,Sat,29,Apr,2023,05:00:22,Morning,0,Apr 2023
425,Tripadvisor ,inspiration@mp1.tripadvisor.com,Sat,29,Apr,2023,04:41:23,Night,0,Apr 2023
426,Decathlon India ,communication@email.decathlon.in,Fri,28,Apr,2023,19:41:01,Evening,0,Apr 2023
427,University of Colorado Boulder ,no-reply@m.mail.coursera.org,Fri,28,Apr,2023,01:22:23,Night,0,Apr 2023
428,Coursera ,Coursera@email.coursera.org,Fri,28,Apr,2023,19:55:37,Evening,0,Apr 2023
429,YouTube ,noreply@youtube.com,Fri,28,Apr,2023,02:03:14,Night,1,Apr 2023
430,Coursera ,no-reply@m.mail.coursera.org,Fri,28,Apr,2023,05:42:47,Morning,0,Apr 2023
431,Coursera ,no-reply@m.mail.coursera.org,Fri,28,Apr,2023,01:38:06,Night,0,Apr 2023
432,LinkedIn,invitations@linkedin.com,Fri,28,Apr,2023,09:38:36,Morning,0,Apr 2023
433,GeeksforGeeks ,no-reply@geeksforgeeks.org,Fri,28,Apr,2023,08:51:48,Morning,0,Apr 2023
434,EaseMyTrip ,info@easemytrip.com,Fri,28,Apr,2023,07:14:27,Morning,0,Apr 2023
435,Varsha from Prosple ,varsha@prosple.com,Thu,27,Apr,2023,03:10:01,Night,0,Apr 2023
436,Gaucho - Buenos Aires ,hello@gauchobuenosaires.com,Thu,27,Apr,2023,07:03:04,Morning,0,Apr 2023
437,Anoj V ,anoj@milaap.org,Thu,27,Apr,2023,06:11:12,Morning,0,Apr 2023
438,Coursera ,Coursera@email.coursera.org,Thu,27,Apr,2023,03:42:28,Night,0,Apr 2023
439,Team Scaler ,academy@mailer.scaler.com,Thu,27,Apr,2023,01:42:21,Night,0,Apr 2023
440,YouTube ,noreply@youtube.com,Thu,27,Apr,2023,22:33:28,Night,1,Apr 2023
441,SBI,cbsalerts.sbi@alerts.sbi.co.in,Thu,27,Apr,2023,10:50:22,Morning,0,Apr 2023
442,SBI,cbsalerts.sbi@alerts.sbi.co.in,Thu,27,Apr,2023,10:50:22,Morning,0,Apr 2023
443,SBI,cbsalerts.sbi@alerts.sbi.co.in,Thu,27,Apr,2023,10:48:04,Morning,0,Apr 2023
444,SBI,cbsalerts.sbi@alerts.sbi.co.in,Thu,27,Apr,2023,10:48:00,Morning,0,Apr 2023
445,SBI,cbsalerts.sbi@alerts.sbi.co.in,Thu,27,Apr,2023,10:46:11,Morning,0,Apr 2023
446,SBI,cbsalerts.sbi@alerts.sbi.co.in,Thu,27,Apr,2023,10:46:10,Morning,0,Apr 2023
447,Google,calendar-notification@google.com,Thu,27,Apr,2023,04:29:47,Night,0,Apr 2023
448,LinkedIn,messages-noreply@linkedin.com,Thu,27,Apr,2023,01:33:23,Night,1,Apr 2023
449,Coursera ,Coursera@email.coursera.org,Wed,26,Apr,2023,18:03:08,Evening,0,Apr 2023
450,IBM ,no-reply@m.mail.coursera.org,Wed,26,Apr,2023,05:52:59,Morning,0,Apr 2023
451,EaseMyTrip ,info@easemytrip.com,Wed,26,Apr,2023,09:21:55,Morning,0,Apr 2023
452,SBI,yonosbi@alerts.sbi.co.in,Wed,26,Apr,2023,07:24:39,Morning,0,Apr 2023
453,Varsha from Prosple ,varsha@prosple.com,Tue,25,Apr,2023,03:06:44,Night,0,Apr 2023
454,Coursera ,Coursera@email.coursera.org,Tue,25,Apr,2023,22:22:53,Night,0,Apr 2023
455,Coursera ,Coursera@email.coursera.org,Tue,25,Apr,2023,19:58:55,Evening,0,Apr 2023
456,upGrad ,info@updates.upgrad.com,Tue,25,Apr,2023,05:57:12,Morning,0,Apr 2023
457,EaseMyTrip ,info@easemytrip.com,Tue,25,Apr,2023,06:17:06,Morning,0,Apr 2023
458,Ganeshraj Sirasangi ,invitations@linkedin.com,Tue,25,Apr,2023,05:10:32,Morning,0,Apr 2023
459,upGrad ,info@updates.upgrad.com,Tue,25,Apr,2023,05:06:52,Morning,0,Apr 2023
460,Team Scaler ,academy@mailer.scaler.com,Tue,25,Apr,2023,00:59:28,Night,0,Apr 2023
461,noreply.npcilcareers@nic.in,noreply.npcilcareers@nic.in,Tue,25,Apr,2023,19:18:03,Evening,1,Apr 2023
462,NPTEL ,onlinecourses@nptel.iitm.ac.in,Tue,25,Apr,2023,13:51:09,Afternoon,0,Apr 2023
463,noreply.npcilcareers@nic.in,noreply.npcilcareers@nic.in,Tue,25,Apr,2023,18:45:48,Evening,1,Apr 2023
464,FabHotels ,newsfeed@stayatfabhotels.com,Tue,25,Apr,2023,01:46:19,Night,0,Apr 2023
465,Coursera ,no-reply@m.mail.coursera.org,Tue,25,Apr,2023,08:37:59,Morning,0,Apr 2023
466,LinkedIn,jobs-listings@linkedin.com,Tue,25,Apr,2023,08:03:21,Morning,0,Apr 2023
467,Coursera ,Coursera@email.coursera.org,Mon,24,Apr,2023,20:50:27,Evening,0,Apr 2023
468,Introduction to Data Analytics ,no-reply@t.mail.coursera.org,Mon,24,Apr,2023,05:52:31,Morning,0,Apr 2023
469,upGrad ,info@updates.upgrad.com,Mon,24,Apr,2023,05:35:31,Morning,0,Apr 2023
470,LinkedIn,messages-noreply@linkedin.com,Mon,24,Apr,2023,03:01:29,Night,1,Apr 2023
471,EaseMyTrip ,info@easemytrip.com,Mon,24,Apr,2023,13:42:23,Afternoon,0,Apr 2023
472,NPTEL ,onlinecourses@nptel.iitm.ac.in,Mon,24,Apr,2023,12:44:51,Afternoon,0,Apr 2023
473,LinkedIn,messages-noreply@linkedin.com,Mon,24,Apr,2023,01:33:23,Night,1,Apr 2023
474,Adobe Acrobat ,mail@mail.adobe.com,Sun,23,Apr,2023,00:56:06,Night,0,Apr 2023
475,Varsha from Prosple ,varsha@prosple.com,Sun,23,Apr,2023,03:59:24,Night,0,Apr 2023
476,Manjunath Goshanatti ,invitations@linkedin.com,Sun,23,Apr,2023,03:38:39,Night,0,Apr 2023
477,Myprotein ,info@n.myprotein.com,Sun,23,Apr,2023,00:00:45,Night,0,Apr 2023
478,Amazon,no-reply@business.amazon.in,Sun,23,Apr,2023,08:42:09,Morning,0,Apr 2023
479,IndiGo ,mailers@marketing.goindigo.in,Sun,23,Apr,2023,06:12:41,Morning,0,Apr 2023
480,Tripadvisor ,inspiration@mp1.tripadvisor.com,Sun,23,Apr,2023,01:32:57,Night,0,Apr 2023
481,Team Scaler ,academy@mailer.scaler.com,Sat,22,Apr,2023,18:01:11,Evening,0,Apr 2023
482,Datacamp,team@datacamp.com,Sat,22,Apr,2023,06:39:30,Morning,0,Apr 2023
483,upGrad ,info@updates.upgrad.com,Sat,22,Apr,2023,05:37:20,Morning,0,Apr 2023
484,Phonepe,noreply@phonepe.com,Sat,22,Apr,2023,14:59:08,Afternoon,1,Apr 2023
485,Goibibo ,noreply@content.goibibo.com,Sat,22,Apr,2023,14:09:08,Afternoon,1,Apr 2023
486,Myprotein ,info@n.myprotein.com,Sat,22,Apr,2023,05:00:04,Morning,0,Apr 2023
487,Coursera ,Coursera@email.coursera.org,Fri,21,Apr,2023,19:52:12,Evening,0,Apr 2023
488,Myprotein ,info@n.myprotein.com,Fri,21,Apr,2023,06:00:51,Morning,0,Apr 2023
489,upGrad ,info@updates.upgrad.com,Fri,21,Apr,2023,04:36:48,Night,0,Apr 2023
490,,ticketadmin@irctc.co.in,Fri,21,Apr,2023,12:44:03,Afternoon,0,Apr 2023
491,IRCTC,ticketadmin@irctc.co.in,Fri,21,Apr,2023,12:43:32,Afternoon,0,Apr 2023
492,Datacamp,team@datacamp.com,Fri,21,Apr,2023,01:28:19,Night,0,Apr 2023
493,SBI,cbssbi.info@alerts.sbi.co.in,Fri,21,Apr,2023,08:15:06,Morning,0,Apr 2023
494,Adobe Acrobat ,mail@mail.adobe.com,Thu,20,Apr,2023,17:56:54,Evening,0,Apr 2023
495,Varsha from Prosple ,varsha@prosple.com,Thu,20,Apr,2023,03:10:45,Night,0,Apr 2023
496,Coursera ,Coursera@email.coursera.org,Thu,20,Apr,2023,22:30:21,Night,0,Apr 2023
497,Google,noreply-local-guides@google.com,Thu,20,Apr,2023,17:14:19,Evening,1,Apr 2023
498,upGrad ,info@updates.upgrad.com,Thu,20,Apr,2023,03:42:19,Night,0,Apr 2023
499,Goibibo ,noreply@content.goibibo.com,Thu,20,Apr,2023,13:52:45,Afternoon,1,Apr 2023
500,Rapido Bike Taxi ,hello@updates.rapido.bike,Thu,20,Apr,2023,01:30:58,Night,0,Apr 2023
501,Amazon,no-reply@business.amazon.in,Thu,20,Apr,2023,01:16:09,Night,0,Apr 2023
502,Amazon,no-reply@business.amazon.in,Thu,20,Apr,2023,01:14:59,Night,0,Apr 2023
503,MADE EASY ,info@madeeasyprime.com,Thu,20,Apr,2023,00:38:36,Night,0,Apr 2023
504,Team Scaler ,hello@scaler.com,Thu,20,Apr,2023,09:51:55,Morning,0,Apr 2023
505,HDFC Bank ,Information@hdfcbank.net,Thu,20,Apr,2023,09:20:57,Morning,0,Apr 2023
506,HackerRank Team ,hackers@hackerrankmail.com,Thu,20,Apr,2023,06:59:20,Morning,0,Apr 2023
507,Google,calendar-notification@google.com,Thu,20,Apr,2023,04:29:47,Night,0,Apr 2023
508,LinkedIn,linkedin@e.linkedin.com,Wed,19,Apr,2023,01:01:34,Night,0,Apr 2023
509,EaseMyTrip ,info@easemytrip.com,Wed,19,Apr,2023,13:32:11,Afternoon,0,Apr 2023
510,HDFC Bank ,Information@hdfcbank.net,Wed,19,Apr,2023,02:05:19,Night,0,Apr 2023
511,Uber ,uber.india@uber.com,Wed,19,Apr,2023,08:45:11,Morning,0,Apr 2023
512,NPTEL ,onlinecourses@nptel.iitm.ac.in,Wed,19,Apr,2023,06:49:19,Morning,0,Apr 2023
513,Myprotein ,info@n.myprotein.com,Wed,19,Apr,2023,05:20:22,Morning,0,Apr 2023
514,Varsha from Prosple ,varsha@prosple.com,Tue,18,Apr,2023,03:07:08,Night,0,Apr 2023
515,Coursera ,Coursera@email.coursera.org,Tue,18,Apr,2023,22:22:44,Night,0,Apr 2023
516,LinkedIn,jobs-noreply@linkedin.com,Tue,18,Apr,2023,08:30:20,Morning,1,Apr 2023
517,Coursera ,no-reply@m.mail.coursera.org,Tue,18,Apr,2023,07:57:49,Morning,0,Apr 2023
518,Coursera ,Coursera@email.coursera.org,Tue,18,Apr,2023,19:52:11,Evening,0,Apr 2023
519,upGrad ,info@updates.upgrad.com,Tue,18,Apr,2023,05:15:58,Morning,0,Apr 2023
520,EaseMyTrip ,info@easemytrip.com,Tue,18,Apr,2023,06:08:14,Morning,0,Apr 2023
521,Google,google-pay-noreply@google.com,Tue,18,Apr,2023,00:36:00,Night,1,Apr 2023
522,HDFC Bank ,Information@hdfcbank.net,Tue,18,Apr,2023,04:11:42,Night,0,Apr 2023
523,noreply.npcilcareers@nic.in,noreply.npcilcareers@nic.in,Tue,18,Apr,2023,15:43:38,Afternoon,1,Apr 2023
524,Amazon,no-reply@business.amazon.in,Tue,18,Apr,2023,08:23:59,Morning,0,Apr 2023
525,Goibibo ,noreply@content.goibibo.com,Tue,18,Apr,2023,09:21:03,Morning,1,Apr 2023
526,CAMSKRA ,CAMSKRAvalidateemail@camskra.com,Tue,18,Apr,2023,08:51:33,Morning,0,Apr 2023
527,Tripadvisor ,inspiration@mp1.tripadvisor.com,Tue,18,Apr,2023,01:39:30,Night,0,Apr 2023
528,Coursera ,Coursera@email.coursera.org,Mon,17,Apr,2023,20:01:05,Evening,0,Apr 2023
529,LinkedIn,messages-noreply@linkedin.com,Mon,17,Apr,2023,03:49:15,Night,1,Apr 2023
